desc,img,title
"Sara Tanjuro just recently transferred to Mikagami Eruma’s elementary school and have caused a major stir among the students. Tanjuro, knicknamed Satan, has been proposing his love to the girls left a...",https://cdn.myanimelist.net/r/50x70/images/manga/2/45284.jpg?s=737cac6d64f7d78d6159027b4e160f41,-SINS-
"Sae is a flight attendant working for ANL (AeroNippon Lines, a fictious airline). She wanted to work in this field thinking on the glamourous aspect of the job since her friends at the university were...",https://cdn.myanimelist.net/r/50x70/images/manga/3/152730.jpg?s=a02a3fa2c5cc34de5c6cae477d86a9c3,CA to Oyobi!
"Middle school, year 2, summer. The me who was unable to say ""don't go"" or that ""I liked you"" to her in the past appeared before me 3 years later. The story of a boy and a girl confronting the time spe...",https://cdn.myanimelist.net/r/50x70/images/manga/2/264058.jpg?s=97ba0fa8bc2f663d22337f36cf12f4b3,A Bitch and a Punk
"Kadomatsu Shouta has just transferred to Takehana High, a boy's high school that's surrounded by four girls' high schools. It's rumored that students there have a 120% chance of losing their virginity...",https://cdn.myanimelist.net/r/50x70/images/manga/1/202385.jpg?s=0f18b65db382053e082d6a943e223c44,G-Men
A collection of Omegaverse yaoi short stories by various mangaka.,https://cdn.myanimelist.net/r/50x70/images/manga/3/239371.jpg?s=e4016509e02e9cabf29ff96d68fdc0dd,B's-LOVEY Anthology: Omegaverse
A 4-koma about a mermaid who arrives in the land of men in hope of finding romance....between males of the human race.,https://cdn.myanimelist.net/r/50x70/images/manga/1/188253.jpg?s=3e7c7ca99f104fe358fbbcbbd1f7db29,f-Ningyo
"In the year 2068, the Brain Computer, created by humans to be the core of a machine-driven Earth, itself creates Leave, an android that far surpasses the abilities of humans. With mankind now an unnec...",https://cdn.myanimelist.net/r/50x70/images/manga/5/837.jpg?s=0251167cde667ca7cf9d609ad03b20b3,D'v
"1. Curtain 2. Rendan (Duet) 3. Anata ni mo Amai Hibi wo (Sweet Days for You, Too) 4. Aigan Shidou (Impassioned Drawing) 5. Aizen Zuhou: Aigan Shidou 2 (Entreaty Guidance: Impassioned Drawing 2)",https://cdn.myanimelist.net/r/50x70/images/manga/4/112449.jpg?s=d95c8186e738707d081c3b8a4d624e8b,...Curtain.: Sensei to Kiyoraka ni Dousei
,https://cdn.myanimelist.net/r/50x70/images/manga/1/193695.jpg?s=b5e503d5a37a2059864d13fd2d517b09,Cabaret Mama
"A collection of sweet stories about couples and singles, office workers and unemployed people. But be warned: there's more than a touch of bitterness here. (Source: Naver)",https://cdn.myanimelist.net/r/50x70/images/manga/3/148197.jpg?s=185cdf72e9975a63bb2974dd5cee2490,A Bittersweet Life
"Kobayashi Shinobu, first year highschool student, transfers to a new school only to get dumped by her boyfriend and have a teacher who breaks all her conventional preconceptions. He smokes. He leaves...",https://cdn.myanimelist.net/r/50x70/images/manga/2/9514.jpg?s=1259b7a9829db52af5af0d50d4d356b7,H
,https://cdn.myanimelist.net/r/50x70/images/manga/1/168071.jpg?s=3766467e8f8d6d030125237c43021e7b,G-Officer Miyuki
"The story begins with Teppei Takamiya, as he travels to China after years of living quietly in the fictional Kamui Island. He attempts to reunite with his brother Koutarou, who left Germany five years...",https://cdn.myanimelist.net/r/50x70/images/manga/3/205170.jpg?s=f226c13f61a7f9cd0e5e34ce812b21df,B'T X
